"id","type","data","needs_followup","needs_followup_by","followup_date","resolved","created_by_id","updated_by_id","unit_id","tenant_id","source_id","facility_id","created_at","updated_at","parent_event_id","related_object_id","related_object_type","uuid","status","important_task","resolved_on","created_by_type","updated_by_type","ledger_id","lead_id","support_case_id","attachment_id","action_item","ledger_delinquency_id","company_uuid","facility_uuid","tenant_uuid","ledger_uuid","unit_uuid","lead_uuid","related_object_uuid","client_application_id","payment_intent_id"
19626,MoveInUnitEvent,"""rate""=>""80.0"", ""move_in_date""=>""2011-01-22"", ""gate_access_code""=>""02378"", ""move_in_initiated_date""=>""2011-01-22""",false,,2014-02-01 00:41:44.569,true,,,5949,3544,,14,2011-01-22 10:00:00.000,2014-04-08 03:12:52.981,,,,"611e7a5c-842f-4876-a793-7bb690e6c056",,false,,,,5114,,,,,,,,,,,,,,
19627,InvoiceSentTenantEvent,"""invoice_sent""=>""true""",false,,,true,,,,3544,,14,2014-02-01 00:41:45.427,2014-02-01 00:41:45.795,,5119,Invoice,dd9b8870-913e-4e52-9301-28def3c13a68,,false,,,,,,,,,,,,,,,,,,
19628,InvoiceSentTenantEvent,"""invoice_sent""=>""true""",false,,,true,,,,3544,,14,2014-02-01 00:41:45.604,2014-02-01 00:41:45.858,,5120,Invoice,"23c39473-ff22-47b2-a5f9-3c166598464f",,false,,,,,,,,,,,,,,,,,,
19629,InvoiceSentTenantEvent,"""invoice_sent""=>""true""",false,,,true,,,,3544,,14,2014-02-01 00:41:45.789,2014-02-01 00:41:45.809,,5121,Invoice,"3af8e266-9c57-4090-b87f-76e1d2a7e3ae",,false,,,,,,,,,,,,,,,,,,
19630,InvoiceSentTenantEvent,"""invoice_sent""=>""true""",false,,,true,,,,3544,,14,2014-02-01 00:41:46.071,2014-02-01 00:41:46.160,,5122,Invoice,"3e070c01-1bd4-43a0-812c-6a034215f3ac",,false,,,,,,,,,,,,,,,,,,
19631,DelinquencyStageTenantEvent,"""invoice_id""=>""5120"", ""applied_date""=>""2014-02-19"", ""line_item_id""=>""5237"", ""resolved_date""=>""2014-03-13""",false,,,true,,,,3544,,14,2014-02-01 00:41:46.354,2014-04-08 03:11:57.877,,23,DelinquencyStage,f8030a6c-eab3-44a9-b9b3-4a490aee0321,removed,false,,,,5114,,,,,23598765,,,,,,,,,
19632,AddFeeDelinquencyTenantEvent,"""fee_invoice_id""=>""5121""",false,,2014-02-01 00:41:46.291,true,,,,3544,,14,2014-02-01 00:41:46.368,2014-03-13 19:11:35.682,19631,28,DelinquencyStageAction,"327e9333-96e4-4a98-87d4-611783e3795d",removed,false,,,,5114,,,,,23598765,,,,,,,,,
19633,GateLockoutDelinquencyTenantEvent,"",false,,2014-03-13 04:00:00.000,true,,,,3544,,14,2014-02-01 00:41:46.485,2014-03-13 19:11:35.767,19631,29,DelinquencyStageAction,"8e02221d-27d3-4e3a-8469-33f8b0726db3",removed,false,,,,5114,,,,,23598765,,,,,,,,,
19634,OverlockDelinquencyTenantEvent,"",false,,2014-03-13 19:13:46.739,true,,40,5949,3544,,14,2014-02-01 00:41:46.557,2014-03-13 19:13:46.740,19631,30,DelinquencyStageAction,c9816208-f870-4424-8568-102d10c7199c,overlock_removed,false,,,,5114,,,,,23598765,,,,,,,,,
19635,DelinquencyStageTenantEvent,"""invoice_id""=>""5120"", ""applied_date""=>""2014-02-24"", ""line_item_id""=>""5237"", ""resolved_date""=>""2014-03-13""",false,,,true,,,,3544,,14,2014-02-01 00:41:46.656,2014-04-08 03:11:57.918,,24,DelinquencyStage,"65ce5380-bb44-4bc5-a2f7-4bf9ee547374",removed,false,,,,5114,,,,,23599027,,,,,,,,,
