"effective_on","description","amount","account_balance_id","tenant_id","ledger_id","facility_id","created_at","updated_at","uuid","reversal","account_balance_item_id","internal_account_code","daily_transaction","transaction_type","hidden","reference_number","display_code","id"
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6563,3557,5127,14,2014-02-01 00:42:04.899,2014-02-01 00:42:04.899,"7f65cb7d-786f-4d98-88ee-c8f6ec0a076d",false,,"2030",false,,false,,,56
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6587,3565,5135,14,2014-02-01 00:42:15.068,2014-02-01 00:42:15.068,"2d1abd49-0c83-403a-9d8f-4c9e9575d044",false,,"2030",false,,false,,,59
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6592,3567,5137,14,2014-02-01 00:42:18.210,2014-02-01 00:42:18.210,"308b15da-1ac7-44bf-90f3-7e73a083de90",false,,"2030",false,,false,,,60
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6646,3588,5158,14,2014-02-01 00:42:41.927,2014-02-01 00:42:41.927,"2c08d43e-59ff-42f9-acd8-d8d10d9e1a1c",false,,"2030",false,,false,,,69
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6652,3590,5160,14,2014-02-01 00:42:44.312,2014-02-01 00:42:44.312,e7afbc73-cca0-45fb-91c0-0f86725630b0,false,,"2030",false,,false,,,70
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6682,3602,5172,14,2014-02-01 00:42:57.361,2014-02-01 00:42:57.361,da5f6391-d410-40b6-92f5-a7d5e4b000c0,false,,"2030",false,,false,,,71
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6743,3624,5195,14,2014-02-01 00:43:24.127,2014-02-01 00:43:24.127,"3290c473-a2c0-4dca-aae1-4ae08204d825",false,,"2030",false,,false,,,78
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6756,3629,5200,14,2014-02-01 00:43:30.113,2014-02-01 00:43:30.113,f56b8feb-a4a3-49e2-8930-40f77fa7d23d,false,,"2030",false,,false,,,81
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6758,3630,5201,14,2014-02-01 00:43:31.101,2014-02-01 00:43:31.101,c7f3383f-5561-4be2-a75a-cf15f65e46ad,false,,"2030",false,,false,,,82
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6803,3644,5217,14,2014-02-01 00:43:51.356,2014-02-01 00:43:51.356,"3bc49a21-2e04-4a40-8024-35a387a17132",false,,"2030",false,,false,,,89
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6814,3648,5221,14,2014-02-01 00:43:56.813,2014-02-01 00:43:56.813,"7ca5d32e-be9a-4075-b9aa-20ed5951f538",false,,"2030",false,,false,,,90
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6860,3665,5243,14,2014-02-01 00:44:16.882,2014-02-01 00:44:16.882,"2f1d2342-79fd-42b1-a486-d52bc4642490",false,,"2030",false,,false,,,91
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6866,3668,5246,14,2014-02-01 00:44:19.495,2014-02-01 00:44:19.495,adbdd413-e4a8-4baf-88c2-c9848f596093,false,,"2030",false,,false,,,92
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6869,3669,5247,14,2014-02-01 00:44:20.476,2014-02-01 00:44:20.476,"5df9b10b-1587-4faf-b198-7d5edb9b488c",false,,"2030",false,,false,,,93
2014-02-01 04:59:00.000,Imported Security Deposit,-15.00,6886,3675,5253,14,2014-02-01 00:44:29.021,2014-02-01 00:44:29.021,"8f596dd0-2029-4796-af68-5ec7b2d0caf6",false,,"2030",false,,false,,,94
2014-01-31 22:00:00.000,Imported Security Deposit,-15.00,6909,3682,5262,13,2014-02-01 00:50:41.633,2014-02-01 00:50:41.633,e86c2207-5522-4f61-b1be-d5a488cc1222,false,,"2030",false,,false,,,97
2014-01-31 22:00:00.000,Imported Security Deposit,-30.00,6919,3686,5266,13,2014-02-01 00:50:45.643,2014-02-01 00:50:45.643,b117c39a-519d-4536-b407-870a60e433e8,false,,"2030",false,,false,,,102
2014-01-31 22:00:00.000,Imported Security Deposit,-15.00,6992,3714,5296,13,2014-02-01 00:51:16.256,2014-02-01 00:51:16.256,"4c4a7428-f77a-45bc-a4ac-c83f3701011d",false,,"2030",false,,false,,,115
2014-01-31 22:00:00.000,Imported Security Deposit,-15.00,7003,3718,5300,13,2014-02-01 00:51:20.637,2014-02-01 00:51:20.637,"787f3534-8b2d-40c3-ab88-959672a2f029",false,,"2030",false,,false,,,120
2014-01-31 22:00:00.000,Imported Security Deposit,-15.00,7017,3722,5304,13,2014-02-01 00:51:26.945,2014-02-01 00:51:26.945,a94d58e4-093f-4d2e-9551-e9d5e13ab215,false,,"2030",false,,false,,,121
2014-01-31 22:00:00.000,Imported Security Deposit,-15.00,7048,3734,5317,13,2014-02-01 00:51:40.019,2014-02-01 00:51:40.019,"2346172f-b965-4de1-886c-03c432dcb80c",false,,"2030",false,,false,,,126
2014-01-31 22:00:00.000,Imported Security Deposit,-15.00,7123,3757,5343,13,2014-02-01 00:52:12.766,2014-02-01 00:52:12.766,"6d57abec-6289-45be-86f7-18c62846881a",false,,"2030",false,,false,,,137
2014-01-31 22:00:00.000,Imported Security Deposit,-15.00,7131,3760,5346,13,2014-02-01 00:52:16.230,2014-02-01 00:52:16.230,"4cda7ad1-0725-4e84-bc47-d639329f5434",false,,"2030",false,,false,,,138
2014-01-31 22:00:00.000,Imported Security Deposit,-15.00,7139,3763,5349,13,2014-02-01 00:52:20.256,2014-02-01 00:52:20.256,"901a567a-498e-40fb-af34-964590a4ca7f",false,,"2030",false,,false,,,139
2014-01-31 22:00:00.000,Imported Security Deposit,-15.00,7141,3764,5350,13,2014-02-01 00:52:21.108,2014-02-01 00:52:21.108,b17577cb-4268-4f33-8e6d-a4cf4fd9a1f3,false,,"2030",false,,false,,,140
2014-01-31 22:00:00.000,Imported Security Deposit,-15.00,7219,3794,5384,13,2014-02-01 00:52:53.498,2014-02-01 00:52:53.498,"2ed4b5e7-e36a-4875-a373-45fff9069123",false,,"2030",false,,false,,,157
2014-01-31 22:00:00.000,Imported Security Deposit,-30.00,7249,3805,5397,13,2014-02-01 00:53:06.641,2014-02-01 00:53:06.641,"2bee172f-ef84-4120-8d29-ab5cc42f3f42",false,,"2030",false,,false,,,162
2014-01-31 22:00:00.000,Imported Security Deposit,-15.00,7262,3810,5403,13,2014-02-01 00:53:12.468,2014-02-01 00:53:12.468,"13d84e88-b5f5-4047-a054-6c77bdc89e43",false,,"2030",false,,false,,,165
2014-01-31 22:00:00.000,Imported Security Deposit,-15.00,7307,3826,5421,13,2014-02-01 00:53:33.041,2014-02-01 00:53:33.041,"02778aec-4034-4316-92df-fe20c46591f8",false,,"2030",false,,false,,,168
2014-01-31 22:00:00.000,Imported Security Deposit,-15.00,7314,3828,5424,13,2014-02-01 00:53:35.807,2014-02-01 00:53:35.807,"8d6958b7-fdd5-4117-a9e1-ab9756011702",false,,"2030",false,,false,,,169
2014-01-31 22:00:00.000,Imported Security Deposit,-15.00,7319,3770,5426,13,2014-02-01 00:53:38.036,2014-02-01 00:53:38.036,"32b28561-6411-40cc-a4ba-018644728b97",false,,"2030",false,,false,,,172
2014-02-13 21:58:21.075,Credit Card - Visa,15.00,40516,3761,,13,2014-02-13 21:58:21.076,2014-02-13 21:58:21.076,"8de0d19c-c69d-4f23-898e-0e9401e239aa",false,30679,"1020",false,,false,,,58275
2014-02-13 21:58:21.089,Late Fee Revenue,-15.00,40514,3761,,13,2014-02-13 21:58:21.091,2014-02-13 21:58:21.091,"2b146eb6-1e1f-453b-ac99-6dcae5e4d074",false,30679,"4052",false,,false,,,58276
2014-03-13 15:22:06.251,Credit Card - Visa,25.00,87631,3609,,14,2014-03-13 15:22:06.253,2014-03-13 15:22:06.253,"5dc6f518-41db-48e5-b2ee-abed2fca4230",false,47181,"1020",false,,false,,,90864
2014-03-13 15:22:06.266,General Fee Revenue,-25.00,87630,3609,,14,2014-03-13 15:22:06.267,2014-03-13 15:22:06.267,"09a4f97a-d1f1-4de3-8996-d892390b7a87",false,47181,"4050",false,,false,,,90865
2014-03-19 18:46:34.520,Cash,25.00,98113,3773,,13,2014-03-19 18:46:34.521,2014-03-19 18:46:34.521,f8abff62-3985-449f-a903-3f22b1d91fee,false,47520,"1000",false,,false,,,91533
2014-03-19 18:46:34.533,General Fee Revenue,-25.00,98112,3773,,13,2014-03-19 18:46:34.535,2014-03-19 18:46:34.535,e0a19850-3e50-405c-b7a7-afc40d6ae198,false,47520,"4050",false,,false,,,91534
2014-02-03 17:03:30.957,Cash,160.00,108209,3680,5260,13,2014-04-08 03:04:51.465,2014-04-08 03:04:51.465,f9ce58bd-44d6-4a7a-84a5-2c9043421d4a,false,48438,"1000",false,,false,,,93361
2014-02-03 17:03:30.957,Unit #001,-160.00,108206,3680,5260,13,2014-04-08 03:04:51.480,2014-04-08 03:04:51.480,f2637bad-0fba-4547-b456-756be1f76e4e,false,48438,"4000",false,,false,,,93362
2014-03-18 20:00:30.170,Cash,30.00,108217,3680,5260,13,2014-04-08 03:04:51.838,2014-04-08 03:04:51.838,e89993a3-35bc-48da-82bf-8b63515a7a06,false,48441,"1000",false,,false,,,93363
2014-03-18 20:00:30.170,Unit #001,-30.00,108206,3680,5260,13,2014-04-08 03:04:51.849,2014-04-08 03:04:51.849,"2d6a0b4a-b10b-4efd-b16f-96f0bb451a06",false,48441,"4000",false,,false,,,93364
2014-03-18 20:00:30.170,Cash,65.00,108217,3680,5260,13,2014-04-08 03:04:51.915,2014-04-08 03:04:51.915,"788761b7-ca10-4778-a6d3-a8a1a8d751a7",false,48442,"1000",false,,false,,,93365
2014-03-18 20:00:30.170,Unit #001,-65.00,108208,3680,5260,13,2014-04-08 03:04:51.926,2014-04-08 03:04:51.926,"250ba3fe-c4a7-4831-aae3-7b42a59ab361",false,48442,"4000",false,,false,,,93366
2014-03-26 20:59:25.107,Cash,65.00,108218,3680,5260,13,2014-04-08 03:04:52.021,2014-04-08 03:04:52.021,f09d58c5-0e82-4f41-b155-d0f4cbb4f75a,false,48443,"1000",false,,false,,,93367
2014-03-26 20:59:25.107,Unit #001,-65.00,108214,3680,5260,13,2014-04-08 03:04:52.032,2014-04-08 03:04:52.032,"89a56ced-e24a-434b-a3ff-31ef66f0b0bd",false,48443,"4000",false,,false,,,93368
2014-03-26 20:59:25.107,Cash,15.00,108218,3680,5260,13,2014-04-08 03:04:52.094,2014-04-08 03:04:52.094,"347497ee-4cfb-4b91-966e-75c4a184ab7f",false,48444,"1000",false,,false,,,93369
2014-03-26 20:59:25.107,LF,-15.00,108215,3680,5260,13,2014-04-08 03:04:52.105,2014-04-08 03:04:52.105,c6b02ab9-3fbe-413f-96d4-77621f4597a2,false,48444,"4052",false,,false,,,93370
2014-03-26 20:59:25.107,Cash,15.00,108218,3680,5260,13,2014-04-08 03:04:52.166,2014-04-08 03:04:52.166,e41358c2-c93e-47c9-a493-19b76cd4e118,false,48445,"1000",false,,false,,,93371
2014-03-26 20:59:25.107,LF,-15.00,108216,3680,5260,13,2014-04-08 03:04:52.177,2014-04-08 03:04:52.177,f7db04b4-ce4a-4be7-946a-60787c8a4979,false,48445,"4052",false,,false,,,93372
2014-04-08 03:04:52.788,Cash,45.00,108217,3680,5260,13,2014-04-08 03:04:52.796,2014-04-08 03:04:52.796,"50588a8e-324a-49f1-8437-1195f965a385",false,48446,"1000",false,,false,,,93373
2014-04-08 03:04:52.788,IMPORT-LATE1,-45.00,108207,3680,5260,13,2014-04-08 03:04:52.806,2014-04-08 03:04:52.806,c4aa8b48-e468-4d40-b919-0a7a5d531718,false,48446,"4052",false,,false,,,93374
2014-02-25 19:51:46.035,Cash,65.00,108240,3683,5263,13,2014-04-08 03:04:55.039,2014-04-08 03:04:55.039,cd454d26-1773-4b20-83c0-48c480e4507d,false,48453,"1000",false,,false,,,93387
2014-02-25 19:51:46.035,Unit #005,-65.00,108239,3683,5263,13,2014-04-08 03:04:55.050,2014-04-08 03:04:55.050,ea84a5c5-380f-45b3-8ca1-9cf9c007ed7f,false,48453,"4000",false,,false,,,93388
2014-02-25 19:51:23.643,Cash,40.00,108246,3683,5323,13,2014-04-08 03:04:55.673,2014-04-08 03:04:55.673,c54e94ac-067f-488d-8e6a-599f5573a642,false,48455,"1000",false,,false,,,93391
2014-02-25 19:51:23.643,Unit #066,-40.00,108245,3683,5323,13,2014-04-08 03:04:55.684,2014-04-08 03:04:55.684,"15d9bbe5-7093-4855-967c-fd3738bf795f",false,48455,"4000",false,,false,,,93392
2014-02-14 16:16:46.574,Cash,34.82,108250,3683,13144,13,2014-04-08 03:04:56.170,2014-04-08 03:04:56.170,f83285bf-c0fe-4fec-8804-8c3eead5c105,false,48456,"1000",false,,false,,,93393
