ID,TENANT_ID,AMOUNT,HIDDEN,DESCRIPTION,CREATED_AT,ACCOUNT_BALANCE_ITEM_ID,TRANSACTION_TYPE,EFFECTIVE_ON,UUID,REFERENCE_NUMBER,REVERSAL,DAILY_TRANSACTION,UPDATED_AT,INTERNAL_ACCOUNT_CODE,DISPLAY_CODE,ACCOUNT_BALANCE_ID,FACILITY_ID,LEDGER_ID,_FIVETRAN_SYNCED,_FIVETRAN_START,_FIVETRAN_END,_FIVETRAN_ACTIVE
56,3557,-15.00,FALSE,Imported Security Deposit,2014-02-01 00:42:04.899,,,2014-02-01 04:59:00.000,7f65cb7d-786f-4d98-88ee-c8f6ec0a076d,,FALSE,FALSE,2014-02-01 00:42:04.899,2030,,6563,14,5127,2026-07-09 09:47:00.208 Z,2026-07-09 09:43:14.437 Z,9999-12-31 23:59:59.999 Z,TRUE
59,3565,-15.00,FALSE,Imported Security Deposit,2014-02-01 00:42:15.068,,,2014-02-01 04:59:00.000,2d1abd49-0c83-403a-9d8f-4c9e9575d044,,FALSE,FALSE,2014-02-01 00:42:15.068,2030,,6587,14,5135,2026-07-09 09:47:00.208 Z,2026-07-09 09:43:14.437 Z,9999-12-31 23:59:59.999 Z,TRUE
60,3567,-15.00,FALSE,Imported Security Deposit,2014-02-01 00:42:18.210,,,2014-02-01 04:59:00.000,308b15da-1ac7-44bf-90f3-7e73a083de90,,FALSE,FALSE,2014-02-01 00:42:18.210,2030,,6592,14,5137,2026-07-09 09:47:00.208 Z,2026-07-09 09:43:14.437 Z,9999-12-31 23:59:59.999 Z,TRUE
69,3588,-15.00,FALSE,Imported Security Deposit,2014-02-01 00:42:41.927,,,2014-02-01 04:59:00.000,2c08d43e-59ff-42f9-acd8-d8d10d9e1a1c,,FALSE,FALSE,2014-02-01 00:42:41.927,2030,,6646,14,5158,2026-07-09 09:47:00.208 Z,2026-07-09 09:43:14.437 Z,9999-12-31 23:59:59.999 Z,TRUE
70,3590,-15.00,FALSE,Imported Security Deposit,2014-02-01 00:42:44.312,,,2014-02-01 04:59:00.000,e7afbc73-cca0-45fb-91c0-0f86725630b0,,FALSE,FALSE,2014-02-01 00:42:44.312,2030,,6652,14,5160,2026-07-09 09:47:00.208 Z,2026-07-09 09:43:14.437 Z,9999-12-31 23:59:59.999 Z,TRUE
71,3602,-15.00,FALSE,Imported Security Deposit,2014-02-01 00:42:57.361,,,2014-02-01 04:59:00.000,da5f6391-d410-40b6-92f5-a7d5e4b000c0,,FALSE,FALSE,2014-02-01 00:42:57.361,2030,,6682,14,5172,2026-07-09 09:47:00.208 Z,2026-07-09 09:43:14.437 Z,9999-12-31 23:59:59.999 Z,TRUE
78,3624,-15.00,FALSE,Imported Security Deposit,2014-02-01 00:43:24.127,,,2014-02-01 04:59:00.000,3290c473-a2c0-4dca-aae1-4ae08204d825,,FALSE,FALSE,2014-02-01 00:43:24.127,2030,,6743,14,5195,2026-07-09 09:47:00.208 Z,2026-07-09 09:43:14.437 Z,9999-12-31 23:59:59.999 Z,TRUE
81,3629,-15.00,FALSE,Imported Security Deposit,2014-02-01 00:43:30.113,,,2014-02-01 04:59:00.000,f56b8feb-a4a3-49e2-8930-40f77fa7d23d,,FALSE,FALSE,2014-02-01 00:43:30.113,2030,,6756,14,5200,2026-07-09 09:47:00.208 Z,2026-07-09 09:43:14.437 Z,9999-12-31 23:59:59.999 Z,TRUE
82,3630,-15.00,FALSE,Imported Security Deposit,2014-02-01 00:43:31.101,,,2014-02-01 04:59:00.000,c7f3383f-5561-4be2-a75a-cf15f65e46ad,,FALSE,FALSE,2014-02-01 00:43:31.101,2030,,6758,14,5201,2026-07-09 09:47:00.208 Z,2026-07-09 09:43:14.437 Z,9999-12-31 23:59:59.999 Z,TRUE
89,3644,-15.00,FALSE,Imported Security Deposit,2014-02-01 00:43:51.356,,,2014-02-01 04:59:00.000,3bc49a21-2e04-4a40-8024-35a387a17132,,FALSE,FALSE,2014-02-01 00:43:51.356,2030,,6803,14,5217,2026-07-09 09:47:00.208 Z,2026-07-09 09:43:14.437 Z,9999-12-31 23:59:59.999 Z,TRUE
90,3648,-15.00,FALSE,Imported Security Deposit,2014-02-01 00:43:56.813,,,2014-02-01 04:59:00.000,7ca5d32e-be9a-4075-b9aa-20ed5951f538,,FALSE,FALSE,2014-02-01 00:43:56.813,2030,,6814,14,5221,2026-07-09 09:47:00.208 Z,2026-07-09 09:43:14.437 Z,9999-12-31 23:59:59.999 Z,TRUE
91,3665,-15.00,FALSE,Imported Security Deposit,2014-02-01 00:44:16.882,,,2014-02-01 04:59:00.000,2f1d2342-79fd-42b1-a486-d52bc4642490,,FALSE,FALSE,2014-02-01 00:44:16.882,2030,,6860,14,5243,2026-07-09 09:47:00.208 Z,2026-07-09 09:43:14.437 Z,9999-12-31 23:59:59.999 Z,TRUE
92,3668,-15.00,FALSE,Imported Security Deposit,2014-02-01 00:44:19.495,,,2014-02-01 04:59:00.000,adbdd413-e4a8-4baf-88c2-c9848f596093,,FALSE,FALSE,2014-02-01 00:44:19.495,2030,,6866,14,5246,2026-07-09 09:47:00.208 Z,2026-07-09 09:43:14.437 Z,9999-12-31 23:59:59.999 Z,TRUE
